question_list,label
"bagaimana jika saya salah melakukan pembayaran ke akun biznet orang lain, apakah uang saya bisa direfund?",Information
Kamu sebagai apa di biznet,Unknown
Apa kah kamu kenal dengan pak Adi,Unknown
Siapa owner biznet,Unknown
Itu kamu tau pak Adi owner biznet tadi ditanya gak tau,Unknown
Saya minta no WhatsApp nya dong,Request
Estimasi kunjungan teknisi biznet,Unknown
Channel IPTV Biznet apa aja ya ?,Unknown
Mau refund dana Biznet,Unknown
Beberapa website tidak bisa diakses,Problem
Bagaimana cara cek IP Server game valorant ?,Information
Berapa jarak ideal dari DP terdekat ke rumah untuk pemasangan ?,Unknown
cara relokasi layanan,Information
PSN tidak bisa konek,Problem
Chromecast tidak bisa digunakan.,Problem
Perbedaan frekuensi modem 2.4Ghz dan 5Ghz .,Problem
Modem biznet wifi berapa ?,Problem
Apakah modem Biznet sudah support wifi 6 ?,Problem
Perbedaan wifi 5 dan wifi 6 modem ?,Problem
Mau mengajukan sponsorship,Unknown
saya salah melakukan pembayaran ke akun orang lain,Information
Apa kelemahan koneksi dengan fiber ?,Unknown
Kelemahan koneksi wifi,Unknown
fungsi parental control modem dan caranya,Information
Fungsi whitelist di modem,Problem
fungsi blacklist modem,Problem
Apa itu DDNS ?,Unknown
Bagaimana cara mengatur DDNS ?,Information
cara pembayaran Biznet Home.,Information
Kuota habis,Problem
Kuota saya tidak ter reset,Request
Kenapa Biznet tidak bisa menggunakan DNS Google .,Problem
Rekomendasi router dari Biznet,Problem
Rekomendasi router tambahan dari Biznet,Problem
Internet saya down sudah 2 hari apa ada kompensasi ?,Unknown
Minimal speed yang didapatkan layanan 0D ?,Unknown
Balik nama akun.,Unknown
Berapa perangkat untuk 0D ?,Unknown
Apa itu Biznet Wifi ?,Unknown
Hotspot Biznet,Unknown
Cara ganti layanan home ke metronet,Information
Internet saya down sejak semalam,Unknown
informasi harga paket area manado min,Information
promo berlangganan 2D buy daerah bogor,Information
mau beli ekstra kuota gimana,Problem
email biznet home,Unknown
HOTLINE biznet home,Unknown
harga promo 1D 12+5 jakarta,Information
Ping tinggi,Unknown
CCTV saya tidak berfungsi dengan koneksi biznet sementara koneksi lain tidak ada kendala.,Unknown
Saya tidak bisa akses App Biznet,Problem
Tidak dapat membuka halaman aplikasi di situs https://app.biznet.id.,Unknown
Tidak dapat login ke akun Anda di https://app.biznet.id.,Unknown
cara cek coverage area,Information
Apakah saya bisa menambah Add On IPTV ?,Unknown
Apa syarat untuk berhenti berlangganan ?,Unknown
cara pasang router tambahan,Information
kok bandwidth yang kudapat ngga sesuai sih???,Unknown
iya router seperti tenda,Problem
kapan teknisinya datang,Unknown
kok tanggal jatuh tempo nya maju terus ya?,Unknown
Adakah perubahan nomor pelanggan utk biznet saya?,Unknown
Adakah perubahan nomor ID pelanggan utk biznet saya?,Unknown
Kenapa My Biznet saya ada 2 akun atas nama orang lain?,Unknown
Saya tidak dapat mengirim dan menerimal email,Unknown
modemnya rental sampai kapan ya?,Problem
tanggal berapa biasanya akan terdebet?,Unknown
tanggal berapa cc biasanya akan terdebet?,Unknown
untuk permintaan add on kouta bisa melalui apa saja?,Request
bisa diinformasikan untuk reset kouta setiap tanggal berapa?,Information
bisa dicek ID pelanggan ini 1000308564 los merah menyala?,Problem
di nabire sudah kaver belum,Unknown
apakah bisa cek status internet saya,Unknown
koneksi terputus,Problem
kalo lambat gmn,Problem
kalo internet lambat gmn ceknya,Problem
Apakah bisa melakukan perubahan paket?,Unknown
"Mau tanya, kalo ini pingnya sesuai ga?",Unknown
Cara relokasi,Information
cara tau jumlah prangkat terhubng gimana,Information
cara membeli promo,Information
di batam ada layanan apa aja,Unknown
kapan teknisi datang,Unknown
internet saya ada loss merah,Problem
cara mengetahui cakupan area,Information
call center homecare,Unknown
berapa suhu modem seharusnya,Problem
internet saya lambat,Problem
Nomor call center homcare berapa,Unknown
harga promo home internet 1D,Information
mau nambah router min jual ngga,Problem
estimasi perbaikan kendala area sampai kapan?,Unknown
harga mesh wifi berapa?,Information
Estimasi waktu relokasi,Request
cara berlangganan biznet,Information
internet Down,Unknown
Harga visit berbayar,Information
cara order promo min,Information
cara pengajuan auto debit,Information
cara melakukan terminasi,Information
harga IPTV,Information
Apakah perubahan paket menghanguskan masa aktif?,Unknown
cara login ke mybiznet,Information
cara cek fup atau kuota,Information
pembelian IPTV,Unknown
"Kak, saya mau pasang wifi di alamat yg berbeda. Saya juga sempet tanya ke sales area jl h hasan kelurahan baru, an Mas Zikri. Tp contact beliau tidak bisa dihubungi lagi",Problem
min modem saya hilang,Problem
mau masuk ke modem?,Problem
iya min cara akses ke modem mau ganti password,Information
cara cek tanggal reset kuota?,Information
kendapa speed test lemah ya?,Unknown
Saya ada kendala login ke app Biznet sudah ganti password ngak bisa masuk2,Request
prediksi cuaca hari ini min,Unknown
cara relokasi,Information
Minta kompensasi karena internet kendala terus,Request
cara mengganti password wifi,Information
cek lokasi dong,Unknown
"Ka gmna ya sayang udah beres payment dari hari jumat janji di pasang sore ternyata gabisa katanya paling lambat pagi besok nya, tapi sampe sekrang belum datang datang gmna yah",Problem
harga promo biznet home internet 2D modem beli,Information
harga modem biznet,Information
Modem saya ada lampu merahnya min?,Problem
Jadwal reset fup,Request
sudah bayar tapi masa aktif gak sesuai kak?,Information
cara upgrade layanan,Information
jaringan saya putus sambung,Problem
"Mau berhenti berlangganan, Belum pasti nanti akan digunakan kembali atau tidak Pak",Unknown
cara melakukan pembayaran melalui virtual account BCA,Information
cara order promo,Information
cara melakukan relokasi,Information
Saya mau pindahin modem gimana caranya?,Information
biaya relokasi,Information
wifi saya bermasalah,Problem
Kenapa reminder tidak masuk WA atau sms?,Unknown
Apakah ada promo untuk bulan ini?,Information
Harga biznet home internet 1D,Information
Ini kenapa ada biznet autodebet yg sudah saya cancel masih tetep masuk ya tagihannya ke credit card saya,Information
internet saya bermasalah,Problem
Virtual account BCA,Unknown
Virtual account permata,Unknown
Cara mengetahui id billing,Information
cara registrasi kembali,Information
harga home internet 0D,Information
cara mengetahui masa aktif akun,Information
cara order modem biznet,Information
saya sudah bayar tapi belum aktif?,Information
kenapa bayar di atas jam 12 malam gak langsung aktif internetnya?,Information
Cara pembayaran melalui tokopedia,Information
cara restart modem,Information
cara terminasi,Information
cara menambah installasi biznet,Information
Promo untuk pelanggan baru?,Information
mau ajuin perluasan wilayah gimana caranya?,Information
cara menemukan sn modem,Information
cara mengetahui jumlah perangkat yang terhubung,Information
"Teman saya pelanggan Biznet kok dapat gratis kesehatan, saya tidak dapat?",Unknown
cara setting ke bridge,Information
cara mengetahui nomor pembayaran baru,Information
cara order promo melalui Mybiznet,Information
can you speak english?,Unknown
cara mendapatkan form relokasi,Information
"Hai, my connection internet is so bad, can you help me?",Unknown
cara add on kuota,Information
Biaya pinalty terminasi,Information
Cara setting CCTV?,Information
lampu modem loss merah,Problem
cara setting CCTV pakai jaringan biznet,Information
nomor call center biznet home,Unknown
cara reset password mybiznet,Information
cara merubah e-mail terdaftar,Information
internet saya down dari semalam,Unknown
Harga mesh wifi berapa,Information
Harga paket yang tersedia di Biznet Home,Information
Harga paket yang tersedia untuk di Sumatera,Information
Apakah layanan Biznet Home dikenakan kontrak,Unknown
Apakah masa kontrak berlaku untuk pelanggan yang membeli modem?,Problem
"Jika kuota utama habis, apakah internetnya tidak bisa digunakan?",Problem
Apa itu FUP,Unknown
Kapan kuota akan direset,Request
Apakah masa aktif terhitung 30 hari?,Unknown
Apakah Biznet Home memiliki promo,Information
Apakah Biznet Home memiliki kompensasi,Unknown
Apakah Biznet dapat melakukan refund jika terjadi kesalahan pembayaran?,Information
Harga IPTV,Information
Apakah benar di beberapa area tidak diperlukan modem atau perangkat?,Problem
Bagaimana cara terminasi,Information
Bagaimana cara relokasi,Information
Bagaimana jika ingin relokasi namun alamat barunya tidak tercakup,Request
Internetnya lambat,Problem
Apakah Biznet ada pemblokiran IP,Unknown
Berapa maksimal device pada layanan 0D,Unknown
Berapa maksimal device pada layanan 1D,Unknown
Berapa maksimal device pada layanan 2D,Unknown
Berapa maksimal device pada layanan 3D,Unknown
Apakah bisa memiliki lebih dari 1 akun?,Unknown
Berapa lama proses pemasangan setelah dilakukan pembayaran,Information
Apakah dikenakan biaya jika alamat instalasi menggunakan jalur kabel bawah tanah?,Information
Berapa biaya instalasi,Information
Berapa harga modem membeli dan menyewa,Information
Apakah Biznet memiliki masa tenggang?,Unknown
Apakah modem bisa diganti jika terjadi kerusakan,Request
"Jika akunnya sudah diterminasi, apakah bisa berlangganan kembali",Request
Apakah ada garasi pada pembelian modem?,Problem
Apakah ada garansi pada pembelian modem?,Problem
Apakah ada garansi pada perangkat Biznet IPTV STB,Unknown
Berapa biaya relokasi,Information
"Jika skema modem diawal menyewa, apakah bisa dilakukan pembelian",Problem
Apakah dikenakan biaya jika ingin downgrade layanan?,Information
cara mengetaui billing ID,Information
cara pembayaran,Information
cara mengambil promo,Information
cara mengecek coverage area,Information
Apakah biznet memiliki SLA,Unknown
Bagaimana cara memperluas jangkauan modem,Information
Bagaimana mana cara memperluas jangkauan sinyal,Information
Jika terdapat LOS merah di modem apakah yang harus dilakukan,Problem
Bagaimana jika speed yang didapatkan tidak sesuai,Unknown
Apakah Biznet dapat dilakukan refund jika pelanggan tidak puas dengan layanannya,Unknown
Apakah Biznet menyediakan kabel LAN,Unknown
"Jika terdapat kendala pada adaptor, apakah bisa diganti",Request
Bagaimana cara pembelian remote untuk STB,Information
Bagaimana jika IPTV hanya blank hitam saja,Unknown
Bagaimana cara restart STB,Information
Bagaimana cara restart modem,Information
Apakah biznet memiliki layanan bandwidth on demand,Unknown
bagaimana cara registrasi Biznet,Information
Via portal apa saja untuk menghubungi Biznet customer service,Unknown
Apakah biznet metronet memiliki SLA,Unknown
paket yang miliki ip public,Unknown
Apakah layanan Biznet Home upload dan downloadnya simetris,Unknown
Bagaimana cara agar koneksi internet tetap stabil,Information
"Jika banyak perangkat yang terhubung pada modem, apakah akan berpengaruh pada speed yang didapatkan?",Problem
"Jika FUP yang digunakan sudah melebihi pemakaian, apa yang akan terjadi",Unknown
kalo nomor telepon Home care berapa ya? saya mau call,Unknown
Apakah jika banyak perangkat yang terhubung dapat mempengaruhi FUP,Unknown
Bagaimana cara pembelian extra kuota,Information
Apakah bisa berlangganan kembali jika sudah melewati masa tenggang selama 45 hari,Unknown
"jika ingin menambahakan akun, apakah bisa menggunakan identitas yang sama",Request
Apakah bisa menggunakan e-mail dan nomor telepon yang sama,Unknown
apakah Biznet Home mengeluarkan invoice fisik,Unknown
Internet saya down bisa di bantu cek?,Unknown
Berapa biaya visit berbayar,Information
bagaimana cara merubah data,Information
cara mengajukan perpindahan tiang biznet sebagai non customer,Information
Bagaimana prtosedur relokasi?,Request
Apa status modem saya?,Problem
jika modem saya rusak apakah bisa dilakukan pergantian?,Request
bagaimana cara cek IP address saya?,Information
bagaimana cara lihat jumlah perangkat yang terhubung ke modem saya?,Information
Berapa meter jarak ideal pemakaian wifi dari modem biznet,Problem
apakah ada loker di Biznet,Unknown
apakah modem biznet bisa digunakan kembali jika saya pernah ajukan terminasi?,Request
apakah akun saya bisa dialihkan ke orang lain?,Unknown
apakah KTP yang sudah saya daftarkan bisa didaftarkan lagi?,Unknown
Apakah mybiznet ada aplikasinya di playstome atau appstore?,Unknown
apakah bisa ajukan terminasi melalui MyBiznet?,Request
apakah modem biznet bisa diganti dengan modem yang saya beli sendiri di luar?,Request
bagaimana cara mengganti password wifi,Information
apakah jaringan biznet bisa diperjual belikan lagi?,Unknown
bagaimana cara mengganti SSID wifi,Information
bagaimana cara membuat pembayaran menjadi auto debet,Information
kapan akan dikirimkan reminder pembayaran,Information
berapa meter jangkauan modem biznet,Problem
apakah jaringan Biznet free hotspot diluar bisa saya gunakan?,Unknown
bagaimana cara berlangganan internetnya saja tanpa iptv,Information
apakah perkantoran bisa menggunakan layanan Home?,Unknown
paket yang disarankan jika ingin menggunakan cctv,Request
bagaimana cara menambahkan kartu kredit,Information
apakah akun saya bisa dialihkan ke non FUP?,Unknown
bagaimana cara memberhentikan kartu kredit,Information
jika FUP saya habis apakah inet saya masih bisa digunakan?,Unknown
apakah biznet menyediakan modem wireless?,Problem
bagaimana jika ingin terminasi namun terdapat kartu kredit,Request
Apakah perangkat akan diambil jika modemnya membeli,Problem
apakah tidak ada promo pembelian modem?,Information
Apakah bisa dilakukan rekoneksi,Unknown
apakah cabang gunung putri buka setiap hari?,Unknown
Apakah tiang biznet berwarna kuning,Unknown
apakah boleh saya datang ke cabang?,Unknown
Harga internet 1DS,Information
Harga internet 0DS,Information
Harga internet 3DS,Information
Harga internet 1DW,Information
Harga internet 2DW,Information
Harga internet 3DW,Information
Apakah Free Extra Quota hanya untuk pelanggan baru atau existing,Unknown
Ip yang didapatkan pada paket 1D,Unknown
bagaimana cara ubah password akun mybiznet?,Information
cara stop auto debet?,Information
layanan IPTV biznet bisa terhubung ke berapa TV?,Unknown
apakah stb tv biznet bisa ditukar jika rusak?,Unknown
Mengapa masih mendapatkan reminder tagihan padahal sudah mengajukan relokasi,Information
apakah dapat menchandise jika pemasangan biznet?,Unknown
Mengapa masih mendapatkan reminder tagihan padahal sudah mengajukan terminasi,Information
berapa harga remote iptv?,Information
Apakah biznet menyediakan Merchandise,Unknown
Apakah biznet melakukan pemblokiran port,Unknown
apakah remot tv iptv bisa beli diluar biznet?,Unknown
bagaimana cara melakukan pergantian password pada akun MyBiznet,Information
Apakah sinyal modem akan mencakup seluruh ruangan,Problem
Apakah Biznet ada channel GBO,Unknown
Apakah Biznet ada channel HBO,Unknown
berapa lama proses installasi biznet?,Unknown
apakah relokasi modem biznet bisa saya relokasi mandiri?,Request
Halo internet saya down sejak kemarin bisa di cek,Unknown
mengapa saya tidak bisa akses google.com menggunakan koneksi biznet?,Problem
Mengapa tidak bisa menggunakan DNS lain?,Problem
apa itu DNS?,Unknown
Apakah bisa dilakukan perubahan atas nama,Unknown
apa itu IP?,Unknown
Apakah biznet home mengeluarkan faktur pajak,Unknown
apa bedanya IP static dan IP dinamic?,Unknown
"Apakah setiap melakukan pembayaran, pelanggan akan menerima konfirmasi pembayaran berhasil",Information
Apakah Biznet Home bisa melakukan perubahan nama atas nama PT,Unknown
Apakah bisa dilakukan perubahan paket dari Biznet Home ke Biznet Metronet,Unknown
apa arti Biznet?,Unknown
cara melakukan pembayaran via bank BRI,Information
apakah biznet pempunya layanan telepon?,Unknown
cara melakukan pembayaran via bank Mandiri,Information
cara melakukan pembayaran via Tokopedia,Information
cara melakukan pembayaran via Bank BCA,Information
Apakah layanan home memiliki jatuh tempo,Unknown
Apakah layanan home memiliki jatuh tempo setiap bulannya,Unknown
packet loss,Problem
promo,Information
TV tidak bisa koneksi internet,Problem
Smart TV saya terkendala,Unknown
STB Communication Error,Problem
STB Connection Error,Problem
Cara Factory Reset STB,Information
Cara melihat device yang terhubung di modem.,Information
weak security pada iphone,Unknown
Rekomendasi router untuk game,Problem
ping jumping,Unknown
Ada promo 3+1 ga,Information
youtube nya putus putus,Problem
sudah restart modem tapi masih sama,Problem
bisakah datangkan teknisi,Unknown
oi putus nih inetnya,Problem
apa status modem saya?,Problem
kenapa koneksi saya putus-putus?,Problem
Apakah MyBiznet bisa menampilkan banyak akun,Unknown
dimana kantor pusat biznet?,Unknown
apakah Biznet bisa membayar pasca bayar,Information
Perbedaan IP Dynamic Private dan IP Public Dynamic,Unknown
Cek sisa kuota saya berapa?,Problem
Cara ubah paket,Information
ada promo 6+2 ga,Information
nomornya call center berapa?,Unknown
Call center layanan home berapa sih?,Unknown
Apakah saya bisa merubah tagihan perbulan menjadi pertahun ?,Information
internet terputus,Problem
Boleh di bantu kendala internet down,Unknown
Bisa menggunakan bahasa indonesia,Unknown
"Untuk Kartu kredit, tanggal berapa biasanya akan terdebet?",Unknown
bisa dicek ID pelanggan ini 10003 los merah menyala?,Problem
kenapa koneksi internet saya putus nyambung?,Problem
mengapa saat saya main game ping nya tinggi?,Unknown
bagaimana cara mengecek kouat pemakaian saya dibulan ini?,Information
saya ingin mengecek masa aktif akun saya sampai kapan?,Request
Terminasi layanan Biznet kemana?,Request
Untuk change package bagaimana?,Information
Layanan internet LOS,Problem
Jenis jenis paket Biznet Home apa aja min?,Unknown
Untuk paket HOME 0D benefitnya apa aja?,Unknown
Apakah area saya di cibarusah sudah tercakup?,Unknown
Paket Home 3D benefitnya apa?,Unknown
kelurahan tebet sudah tercakup blm ya?,Unknown
Kalau biaya pemasangan baru berapa kak?,Information
Promo perpanjangan ada apa aja kak?,Information
internet saya mati,Problem
cara beli promo gemana ?,Information
Relokasi layanan Biznet Home?,Request
apakah bisa membeli router tambahan dari biznet?,Problem
apakah ada pengeblokan port internet untuk layanan Biznet ?,Unknown
Biaya relokasi layanan Biznet Home berapa kak?,Information
Untuk harga paket di lokasi batam apakah dikenakan PPN kak?,Information
Kenapa VPN kantor saya tidak ada koneksi.,Unknown
Berapa harga STB Biznet?,Information
Untuk biaya berlangganan IPTV berapa?,Information
ping mobile legend tinggi,Unknown
kenapa hasil trace route ada RTO ?,Unknown
perbedaan speed dan bandwidth,Unknown
Berapa lama IP Biznet Home terganti,Request
Cara cek coverage layanan Biznet Home,Information
Cara cek masa aktif layanan Biznet saya,Information
Troubleshoot internet lambat,Problem
Troubleshoot modem blinking,Problem
"Kabel fiber saya ada yang putus kak, saya harus gimana ya?",Problem
"Saya mau pasang Kak, untuk kebutuhan 3 orang kira-kira paket yang cocok apa ya?",Request
Kalo untuk layanan IPTV ada ga kak?,Unknown
Untuk STB nya apakah ada biaya lagi?,Information
"Baik, untuk estimasi pemasangan baru berapa lama kak?",Unknown
Untuk biaya pemasangannya apakah dibayarkan di awal?,Information
Untuk layanan customer service Biznet Home bisa menghubungi kemana?,Unknown
Registrasi pemasangan baru bisa melalui apa?,Information
IP yang didapatkan dari paket Biznet Home apa ya Kak?,Unknown
Untuk minimal berlangganannya selama berapa Bulan ya Kak?,Unknown
Kalau telat melakukan pembayaran paket apakah ada denda kak?,Information
Untuk biaya kunjungan petugas berapa?,Information
Cara ubah password wifi di lokasi bagaimana?,Information
"SSID saya hilang, bagaimana mengatasinya?",Unknown
Kenapa saya tidak bisa akses website lokal?,Problem
"SSID saya muncul, tapi tidak ada jaringan internetnya. Bagaimana ya kak agar bisa normal kembali?",Unknown
Untuk username login myBiznet apa ya kak?,Unknown
Bagaimana cara ubah alamat Email terdaftar kak?,Information
Apakah layanan Biznet bisa diganti kepemilikan?,Request
Cara cek status billing pembayaran?,Information
Cek kode virtual akun pembayaran billing biznet home?,Information
koneksinya lambat,Problem
Internet saya putus,Problem
Inwt mati ni,Problem
Internet putus ni,Problem
Oke terus paket bixnet ada apa aha sih?,Unknown
cara cek kuota,Information
Koneksi Lambat,Problem
Berapa harga paket 150mbps,Information
Tidak Ada Koneksi,Unknown
Relokasi,Request
Ubah Layanan,Unknown
kalau aku mau mengajukan penutupan akun apakah bisa?,Unknown
Syarat Dan Ketentuan Layanan Biznet Home,Unknown
cara melakukan registrasi ulang,Information
jaminan gangguan Layanan,Problem
jumlah channel TV yang terdapat di dalam Layanan Biznet Biznet IPTV,Unknown
masa tenggang Biznet,Unknown
bagaimana cara ikut prooo?,Information
bagaimana cara ikut promo?,Information
ada promo apa saja yang berlaku?,Information
bagimana mau promo 9+3?,Information
kalo promo 3+1 gimana?,Information
promo 8+4 ada?,Information
saya maunya promo 6+6,Information
biaya instalasi,Information
mau 12+5 deh kak,Unknown
biaya perangkat Biznet WiFi Fiber Modem,Information
biaya  Home Internet 0DS,Information
saya mau terminasi,Request
biaya perangkat  layanan Biznet IPTV,Information
Biaya yang timbul akibat relokasi,Information
biaya setiap bulan  Biznet IPTV,Information
garansi untuk perangkat Biznet WiFi Fiber Modem,Problem
garansi perangkat Biznet IPTV STB,Unknown
biaya sewa perangkat setiap bulan  Biznet WiFi Fiber Modem,Information
biaya penalti Apabila Pelanggan melakukan terminasi sebelum habis masa kontrak,Information
berapa lama proses instalasi hingga layanan aktif,Request
"proses penjadwalan instalasi, aktivasi dan relokasi membutuhkan waktu?",Request
ara Mempercepat Jaringan WiFi Biznet,Unknown
Cara Mempercepat Jaringan WiFi Biznet,Information
Cara Mengatasi WiFi Biznet Lemot,Information
Biznet Smart Internet WiFi,Unknown
bagaimana cara terminasi,Information
apakah modem saya akan dilakukan pengambilan?,Problem
apakah ada biaya terminasi?,Information
syarat mengajukan terminasi apa saja?,Request
saya mau ganti modem,Request
bagaimana cara ganti modem,Information
cara ganti modem rusak,Information
cara beli router tambahan,Information
apakah bisa memanggil teknisi untuk setting router?,Problem
bagaimana cara memindahkan modem Biznet?,Information
jenis paket internet biznet apa saja?,Unknown
perbedaan jenis ip layanan biznet apa saja?,Unknown
paket 1d jenis ip apa?,Unknown
paket 2d jenis ip apa?,Unknown
paket 3d jenis ip apa?,Unknown
Bandiwth 1D berapa?,Unknown
Bandiwth 2D berapa?,Unknown
Bandiwth 3D berapa?,Unknown
bagaimana cari downgrade?,Unknown
bagaimana cara upgrade?,Information
internet saya putus sambung,Problem
ada lampu loss merah,Problem
bagaimana cara cek status modem?,Information
apakah ada layanan IP Statik?,Unknown
bagaimana agar ip saya berubah?,Unknown
modam saya mati total,Problem
bagaimana cek sisa kuota saya?,Problem
bagaimana cara ganti password wifi,Information
bagaimana cek apakah modem sudah support 5G?,Problem
kapan saya harus isi ulang kuota?,Problem
bagaimana cara beli xtra kuota?,Information
berapa jumlah bandwodth over kuota?,Problem
berapa perangkat untuk 0d?,Unknown
berapa perangkat untuk 1D?,Unknown
berapa perangkat untuk 2D?,Unknown
berapa perangkat untuk 3D?,Unknown
berapa perangkat untuk 0ds?,Unknown
berapa perangkat untuk 1ds?,Unknown
berapa perangkat untuk 2ds?,Unknown
berapa perangkat untuk 3ds?,Unknown
berapa perangkat untuk 0dw?,Unknown
berapa perangkat untuk 1dw?,Unknown
berapa perangkat untuk 2dw?,Unknown
berapa perangkat untuk 3dw?,Unknown
berapa perangkat untuk 1dn?,Unknown
paket 1dn untuk area mana?,Unknown
paket 1ds untuk area mana?,Unknown
harga net dari layanan 3D gamers berapa?,Information
Layanan yang di sarankan untuk menggunakan CCTV,Unknown
Layanan Biznet Home yang di rekomendasikan untuk main game,Unknown
"internet lambat sekali, ada saran mengatasinya?",Problem
keunggulan layanan 0D apa aja ya,Unknown
apakah layanan biznet home 0D dapat digunakan untuk CCTV?,Unknown
"internet saya lampu los berkedip, itu kenapa ya?",Problem
jika internet putus nyambung itu kenapa ya?,Problem
"saya dan tetangga saya internetnya biznetnya mati, itu kenapa ya?",Problem
ada promo apa saja pada bulan desember ini?,Information
"kalo saya mau promo 3+1 layanan 0D, kena berapa tagihannya?",Information
bisa tidak pengajuan IPTV untuk layanan 0D?,Unknown
layanan apa ya kalo saya mau pasang IPTV yang cocok?,Unknown
"saya mau pasang IPTV dong, gimana caranya?",Information
"kalo layanan saya 1D dan ingin menggunakan IPTV, tagihannya di kenakan berapa?",Information
Untuk STB IPTV free atau dikenakan biaya?,Information
"layanan 3D tidak dapat buka game ps4 online, itu kenapa?",Unknown
jika kita tidak dapat akses website game steam dengan menggunakan layanan 3D itu kenapa ya?,Unknown
"Saya mau main dota 2, sudah berhasil masuk ke steam, tapi saya tidak dapat akses dota 2, kenapa ya?",Unknown
"layanan saya biznet 3D, saya mau main dota 2, sudah berhasil masuk ke steam, tapi saya tidak dapat akses dota 2, kenapa ya?",Unknown
Internet saya down sejak semalam bisa di bantu?,Unknown
tanggal berapa biasanya akan terdebet untuk kartu kredit?,Unknown
tanggal berapa biasanya akan terdebet untuk payment via kartu kredit?,Unknown
Internet saya down bisa di cek,Unknown
di area gunung putri sudah ada jaringan belum?,Unknown
Halo internet saya down,Unknown
Internet saya down,Unknown
Cara rubah paket gimana,Information
Halo internet saya down bisa di cek?,Unknown
harga Biznet Home 1D berapa ya?,Information
Harga Biznet Home 1D berapa?,Information
bisa di bantu informasikan menu quota tambahan biznet home?,Information
apakah quota tambahan akan hangus jika FUP utama sudah reset?,Request
Apakah extra quota memiliki harga yang sama pada setiap layanan Biznet Home?,Information
langkah langkah lakukan bridge modem Biznet bagaimana?,Problem
"jika router external kami rusak, apakah dapat dibantu dari sisi Biznet?",Problem
apakah pergantian layanan menghanguskan sisa masa aktif?,Request
apakah dikenakan biaya tambahan jika ingin merubah layanan?,Information
apakah pergantian layanan dan pembelian modem bisa di proses secara bersamaan?,Information
Apakah pembelian modem akan menghanguskan sisa masa aktif?,Problem
"saya ingin membeli modem dengan layanan 1D, berapa biaya yang harus saya keluarkan?",Information
apakah kita dapat masuk ke pengaturan modem pribadi?,Problem
"saya ingin mengganti password wifi secara mandiri, apakah dapat dilakukan?",Information
"saya tidak dapat akses website tertentu, dapat dibantu?",Unknown
"Saya tidak dapat akses youtube.com, apakah dapat dibantu?",Unknown
jika saya relokasi apakah dikenakan biaya?,Information
Bagaimana cara setting smtp email menggunakan jaringan biznet,Information
"saya ingin pindah dari jakarta ke bali, apakah dapat dilakukan relokasi?",Request
Apakah saya perlu membwa modem ke lokasi baru jika ingin relokasi?,Request
kenapa koneksi saya sering RTO ketika akses beberapa website?,Unknown
"Jika saya ingin memindahkan modem dari lantai 1 ke lantai 2, apakah dikenakan biaya?",Information
"saya ingin menambah router tamban untuk memperluas jaringan Biznet, apakah ada rekomendasi perangkat?",Request
