question_list,label
Apakah modem Biznet sudah support wifi 6 ?,Problem
Perbedaan wifi 5 dan wifi 6 modem ?,Problem
saya salah melakukan pembayaran ke akun orang lain,Information
fungsi parental control modem dan caranya,Information
Fungsi whitelist di modem,Problem
fungsi blacklist modem,Problem
Bagaimana cara mengatur DDNS ?,Information
cara pembayaran Biznet Home.,Information
Kuota habis,Problem
Kuota saya tidak ter reset,Request
Kenapa Biznet tidak bisa menggunakan DNS Google .,Problem
Rekomendasi router dari Biznet,Problem
Rekomendasi router tambahan dari Biznet,Problem
Cara ganti layanan home ke metronet,Information
informasi harga paket area manado min,Information
promo berlangganan 2D buy daerah bogor,Information
mau beli ekstra kuota gimana,Problem
harga promo 1D 12+5 jakarta,Information
Saya tidak bisa akses App Biznet,Problem
cara cek coverage area,Information
cara pasang router tambahan,Information
iya router seperti tenda,Problem
modemnya rental sampai kapan ya?,Problem
untuk permintaan add on kouta bisa melalui apa saja?,Request
bisa diinformasikan untuk reset kouta setiap tanggal berapa?,Information
bisa dicek ID pelanggan ini 1000308564 los merah menyala?,Problem
koneksi terputus,Problem
kalo lambat gmn,Problem
kalo internet lambat gmn ceknya,Problem
Cara relokasi,Information
cara tau jumlah prangkat terhubng gimana,Information
cara membeli promo,Information
internet saya ada loss merah,Problem
cara mengetahui cakupan area,Information
berapa suhu modem seharusnya,Problem
internet saya lambat,Problem
harga promo home internet 1D,Information
mau nambah router min jual ngga,Problem
harga mesh wifi berapa?,Information
Estimasi waktu relokasi,Request
cara berlangganan biznet,Information
Harga visit berbayar,Information
cara order promo min,Information
cara pengajuan auto debit,Information
cara melakukan terminasi,Information
harga IPTV,Information
cara login ke mybiznet,Information
cara cek fup atau kuota,Information
"Kak, saya mau pasang wifi di alamat yg berbeda. Saya juga sempet tanya ke sales area jl h hasan kelurahan baru, an Mas Zikri. Tp contact beliau tidak bisa dihubungi lagi",Problem
min modem saya hilang,Problem
mau masuk ke modem?,Problem
iya min cara akses ke modem mau ganti password,Information
cara cek tanggal reset kuota?,Information
Saya ada kendala login ke app Biznet sudah ganti password ngak bisa masuk2,Request
cara relokasi,Information
Minta kompensasi karena internet kendala terus,Request
cara mengganti password wifi,Information
"Ka gmna ya sayang udah beres payment dari hari jumat janji di pasang sore ternyata gabisa katanya paling lambat pagi besok nya, tapi sampe sekrang belum datang datang gmna yah",Problem
harga promo biznet home internet 2D modem beli,Information
harga modem biznet,Information
Modem saya ada lampu merahnya min?,Problem
Jadwal reset fup,Request
sudah bayar tapi masa aktif gak sesuai kak?,Information
cara upgrade layanan,Information
jaringan saya putus sambung,Problem
cara melakukan pembayaran melalui virtual account BCA,Information
cara order promo,Information
cara melakukan relokasi,Information
Saya mau pindahin modem gimana caranya?,Information
biaya relokasi,Information
wifi saya bermasalah,Problem
Apakah ada promo untuk bulan ini?,Information
Harga biznet home internet 1D,Information
Ini kenapa ada biznet autodebet yg sudah saya cancel masih tetep masuk ya tagihannya ke credit card saya,Information
internet saya bermasalah,Problem
Cara mengetahui id billing,Information
cara registrasi kembali,Information
harga home internet 0D,Information
cara mengetahui masa aktif akun,Information
cara order modem biznet,Information
saya sudah bayar tapi belum aktif?,Information
kenapa bayar di atas jam 12 malam gak langsung aktif internetnya?,Information
Cara pembayaran melalui tokopedia,Information
cara restart modem,Information
cara terminasi,Information
cara menambah installasi biznet,Information
Promo untuk pelanggan baru?,Information
mau ajuin perluasan wilayah gimana caranya?,Information
cara menemukan sn modem,Information
cara mengetahui jumlah perangkat yang terhubung,Information
cara setting ke bridge,Information
cara mengetahui nomor pembayaran baru,Information
cara order promo melalui Mybiznet,Information
cara mendapatkan form relokasi,Information
cara add on kuota,Information
Biaya pinalty terminasi,Information
Cara setting CCTV?,Information
lampu modem loss merah,Problem
cara setting CCTV pakai jaringan biznet,Information
cara reset password mybiznet,Information
cara merubah e-mail terdaftar,Information
Harga mesh wifi berapa,Information
Harga paket yang tersedia di Biznet Home,Information
Harga paket yang tersedia untuk di Sumatera,Information
Apakah masa kontrak berlaku untuk pelanggan yang membeli modem?,Problem
"Jika kuota utama habis, apakah internetnya tidak bisa digunakan?",Problem
Kapan kuota akan direset,Request
Apakah Biznet Home memiliki promo,Information
Apakah Biznet dapat melakukan refund jika terjadi kesalahan pembayaran?,Information
Harga IPTV,Information
Apakah benar di beberapa area tidak diperlukan modem atau perangkat?,Problem
Bagaimana cara terminasi,Information
Bagaimana cara relokasi,Information
Bagaimana jika ingin relokasi namun alamat barunya tidak tercakup,Request
Internetnya lambat,Problem
Berapa lama proses pemasangan setelah dilakukan pembayaran,Information
Apakah dikenakan biaya jika alamat instalasi menggunakan jalur kabel bawah tanah?,Information
Berapa biaya instalasi,Information
Berapa harga modem membeli dan menyewa,Information
Apakah modem bisa diganti jika terjadi kerusakan,Request
"Jika akunnya sudah diterminasi, apakah bisa berlangganan kembali",Request
Apakah ada garasi pada pembelian modem?,Problem
Apakah ada garansi pada pembelian modem?,Problem
Berapa biaya relokasi,Information
"Jika skema modem diawal menyewa, apakah bisa dilakukan pembelian",Problem
Apakah dikenakan biaya jika ingin downgrade layanan?,Information
cara mengetaui billing ID,Information
cara pembayaran,Information
cara mengambil promo,Information
cara mengecek coverage area,Information
Bagaimana cara memperluas jangkauan modem,Information
Bagaimana mana cara memperluas jangkauan sinyal,Information
Jika terdapat LOS merah di modem apakah yang harus dilakukan,Problem
"Jika terdapat kendala pada adaptor, apakah bisa diganti",Request
Bagaimana cara pembelian remote untuk STB,Information
Bagaimana cara restart STB,Information
Bagaimana cara restart modem,Information
bagaimana cara registrasi Biznet,Information
Bagaimana cara agar koneksi internet tetap stabil,Information
"Jika banyak perangkat yang terhubung pada modem, apakah akan berpengaruh pada speed yang didapatkan?",Problem
Bagaimana cara pembelian extra kuota,Information
"jika ingin menambahakan akun, apakah bisa menggunakan identitas yang sama",Request
Berapa biaya visit berbayar,Information
bagaimana cara merubah data,Information
cara mengajukan perpindahan tiang biznet sebagai non customer,Information
Bagaimana prtosedur relokasi?,Request
Apa status modem saya?,Problem
jika modem saya rusak apakah bisa dilakukan pergantian?,Request
bagaimana cara cek IP address saya?,Information
bagaimana cara lihat jumlah perangkat yang terhubung ke modem saya?,Information
Berapa meter jarak ideal pemakaian wifi dari modem biznet,Problem
apakah modem biznet bisa digunakan kembali jika saya pernah ajukan terminasi?,Request
apakah bisa ajukan terminasi melalui MyBiznet?,Request
apakah modem biznet bisa diganti dengan modem yang saya beli sendiri di luar?,Request
bagaimana cara mengganti password wifi,Information
bagaimana cara mengganti SSID wifi,Information
bagaimana cara membuat pembayaran menjadi auto debet,Information
kapan akan dikirimkan reminder pembayaran,Information
berapa meter jangkauan modem biznet,Problem
bagaimana cara berlangganan internetnya saja tanpa iptv,Information
paket yang disarankan jika ingin menggunakan cctv,Request
bagaimana cara menambahkan kartu kredit,Information
bagaimana cara memberhentikan kartu kredit,Information
apakah biznet menyediakan modem wireless?,Problem
bagaimana jika ingin terminasi namun terdapat kartu kredit,Request
Apakah perangkat akan diambil jika modemnya membeli,Problem
apakah tidak ada promo pembelian modem?,Information
Harga internet 1DS,Information
Harga internet 0DS,Information
Harga internet 3DS,Information
Harga internet 1DW,Information
Harga internet 2DW,Information
Harga internet 3DW,Information
bagaimana cara ubah password akun mybiznet?,Information
cara stop auto debet?,Information
Mengapa masih mendapatkan reminder tagihan padahal sudah mengajukan relokasi,Information
Mengapa masih mendapatkan reminder tagihan padahal sudah mengajukan terminasi,Information
berapa harga remote iptv?,Information
bagaimana cara melakukan pergantian password pada akun MyBiznet,Information
Apakah sinyal modem akan mencakup seluruh ruangan,Problem
apakah relokasi modem biznet bisa saya relokasi mandiri?,Request
mengapa saya tidak bisa akses google.com menggunakan koneksi biznet?,Problem
Mengapa tidak bisa menggunakan DNS lain?,Problem
"Apakah setiap melakukan pembayaran, pelanggan akan menerima konfirmasi pembayaran berhasil",Information
cara melakukan pembayaran via bank BRI,Information
cara melakukan pembayaran via bank Mandiri,Information
cara melakukan pembayaran via Tokopedia,Information
cara melakukan pembayaran via Bank BCA,Information
packet loss,Problem
promo,Information
TV tidak bisa koneksi internet,Problem
STB Communication Error,Problem
STB Connection Error,Problem
Cara Factory Reset STB,Information
Cara melihat device yang terhubung di modem.,Information
Rekomendasi router untuk game,Problem
Ada promo 3+1 ga,Information
youtube nya putus putus,Problem
sudah restart modem tapi masih sama,Problem
oi putus nih inetnya,Problem
apa status modem saya?,Problem
kenapa koneksi saya putus-putus?,Problem
apakah Biznet bisa membayar pasca bayar,Information
Cek sisa kuota saya berapa?,Problem
Cara ubah paket,Information
ada promo 6+2 ga,Information
Apakah saya bisa merubah tagihan perbulan menjadi pertahun ?,Information
internet terputus,Problem
bisa dicek ID pelanggan ini 10003 los merah menyala?,Problem
kenapa koneksi internet saya putus nyambung?,Problem
bagaimana cara mengecek kouat pemakaian saya dibulan ini?,Information
saya ingin mengecek masa aktif akun saya sampai kapan?,Request
Terminasi layanan Biznet kemana?,Request
Untuk change package bagaimana?,Information
Layanan internet LOS,Problem
Kalau biaya pemasangan baru berapa kak?,Information
Promo perpanjangan ada apa aja kak?,Information
internet saya mati,Problem
cara beli promo gemana ?,Information
Relokasi layanan Biznet Home?,Request
apakah bisa membeli router tambahan dari biznet?,Problem
Biaya relokasi layanan Biznet Home berapa kak?,Information
Untuk harga paket di lokasi batam apakah dikenakan PPN kak?,Information
Berapa harga STB Biznet?,Information
Untuk biaya berlangganan IPTV berapa?,Information
Berapa lama IP Biznet Home terganti,Request
Cara cek coverage layanan Biznet Home,Information
Cara cek masa aktif layanan Biznet saya,Information
Troubleshoot internet lambat,Problem
Troubleshoot modem blinking,Problem
"Kabel fiber saya ada yang putus kak, saya harus gimana ya?",Problem
"Saya mau pasang Kak, untuk kebutuhan 3 orang kira-kira paket yang cocok apa ya?",Request
Untuk STB nya apakah ada biaya lagi?,Information
Untuk biaya pemasangannya apakah dibayarkan di awal?,Information
Registrasi pemasangan baru bisa melalui apa?,Information
Kalau telat melakukan pembayaran paket apakah ada denda kak?,Information
Untuk biaya kunjungan petugas berapa?,Information
Cara ubah password wifi di lokasi bagaimana?,Information
Kenapa saya tidak bisa akses website lokal?,Problem
Bagaimana cara ubah alamat Email terdaftar kak?,Information
Apakah layanan Biznet bisa diganti kepemilikan?,Request
Cara cek status billing pembayaran?,Information
Cek kode virtual akun pembayaran billing biznet home?,Information
koneksinya lambat,Problem
Internet saya putus,Problem
Inwt mati ni,Problem
Internet putus ni,Problem
cara cek kuota,Information
Koneksi Lambat,Problem
Berapa harga paket 150mbps,Information
Relokasi,Request
cara melakukan registrasi ulang,Information
jaminan gangguan Layanan,Problem
bagaimana cara ikut prooo?,Information
bagaimana cara ikut promo?,Information
ada promo apa saja yang berlaku?,Information
bagimana mau promo 9+3?,Information
kalo promo 3+1 gimana?,Information
promo 8+4 ada?,Information
saya maunya promo 6+6,Information
biaya instalasi,Information
biaya perangkat Biznet WiFi Fiber Modem,Information
biaya  Home Internet 0DS,Information
saya mau terminasi,Request
biaya perangkat  layanan Biznet IPTV,Information
Biaya yang timbul akibat relokasi,Information
biaya setiap bulan  Biznet IPTV,Information
garansi untuk perangkat Biznet WiFi Fiber Modem,Problem
biaya sewa perangkat setiap bulan  Biznet WiFi Fiber Modem,Information
biaya penalti Apabila Pelanggan melakukan terminasi sebelum habis masa kontrak,Information
berapa lama proses instalasi hingga layanan aktif,Request
"proses penjadwalan instalasi, aktivasi dan relokasi membutuhkan waktu?",Request
Cara Mempercepat Jaringan WiFi Biznet,Information
Cara Mengatasi WiFi Biznet Lemot,Information
bagaimana cara terminasi,Information
apakah modem saya akan dilakukan pengambilan?,Problem
apakah ada biaya terminasi?,Information
syarat mengajukan terminasi apa saja?,Request
saya mau ganti modem,Request
bagaimana cara ganti modem,Information
cara ganti modem rusak,Information
cara beli router tambahan,Information
apakah bisa memanggil teknisi untuk setting router?,Problem
bagaimana cara memindahkan modem Biznet?,Information
bagaimana cara upgrade?,Information
internet saya putus sambung,Problem
ada lampu loss merah,Problem
bagaimana cara cek status modem?,Information
modam saya mati total,Problem
bagaimana cek sisa kuota saya?,Problem
bagaimana cara ganti password wifi,Information
bagaimana cek apakah modem sudah support 5G?,Problem
kapan saya harus isi ulang kuota?,Problem
bagaimana cara beli xtra kuota?,Information
berapa jumlah bandwodth over kuota?,Problem
harga net dari layanan 3D gamers berapa?,Information
"internet lambat sekali, ada saran mengatasinya?",Problem
"internet saya lampu los berkedip, itu kenapa ya?",Problem
jika internet putus nyambung itu kenapa ya?,Problem
"saya dan tetangga saya internetnya biznetnya mati, itu kenapa ya?",Problem
ada promo apa saja pada bulan desember ini?,Information
"kalo saya mau promo 3+1 layanan 0D, kena berapa tagihannya?",Information
"saya mau pasang IPTV dong, gimana caranya?",Information
"kalo layanan saya 1D dan ingin menggunakan IPTV, tagihannya di kenakan berapa?",Information
Untuk STB IPTV free atau dikenakan biaya?,Information
Cara rubah paket gimana,Information
harga Biznet Home 1D berapa ya?,Information
Harga Biznet Home 1D berapa?,Information
bisa di bantu informasikan menu quota tambahan biznet home?,Information
apakah quota tambahan akan hangus jika FUP utama sudah reset?,Request
Apakah extra quota memiliki harga yang sama pada setiap layanan Biznet Home?,Information
langkah langkah lakukan bridge modem Biznet bagaimana?,Problem
"jika router external kami rusak, apakah dapat dibantu dari sisi Biznet?",Problem
apakah pergantian layanan menghanguskan sisa masa aktif?,Request
apakah dikenakan biaya tambahan jika ingin merubah layanan?,Information
apakah pergantian layanan dan pembelian modem bisa di proses secara bersamaan?,Information
Apakah pembelian modem akan menghanguskan sisa masa aktif?,Problem
"saya ingin membeli modem dengan layanan 1D, berapa biaya yang harus saya keluarkan?",Information
apakah kita dapat masuk ke pengaturan modem pribadi?,Problem
"saya ingin mengganti password wifi secara mandiri, apakah dapat dilakukan?",Information
jika saya relokasi apakah dikenakan biaya?,Information
Bagaimana cara setting smtp email menggunakan jaringan biznet,Information
"saya ingin pindah dari jakarta ke bali, apakah dapat dilakukan relokasi?",Request
Apakah saya perlu membwa modem ke lokasi baru jika ingin relokasi?,Request
"Jika saya ingin memindahkan modem dari lantai 1 ke lantai 2, apakah dikenakan biaya?",Information
"saya ingin menambah router tamban untuk memperluas jaringan Biznet, apakah ada rekomendasi perangkat?",Request
kenapa saya tidak bisa akses disney hotstar? keterangannya koneksi saya menggunakan vpn,Problem
bagaimana cara saya mengetahui IP dari game di pc saya?,Information
"Saya ingin membuka warnet, layanan Biznet apa yang cocok untuk warnet?",Request
Bisa dibantu langkah untuk mengatur NAT pada playstation?,Request
bagaimana saya cek sisa kuota saya?,Problem
saya ingin mengaktifkan akun saya kembali namun saya terakhir melakukan pembayaran 2 bulan yang lalu. Apakah bisa di bantu?,Information
saya ingin membeli modem apakah bisa di proses di hari ini?,Request
"Saya ingin membayarkan tagihan melalui bank bsi, apakah bisa?",Information
Apakah IP akan terganti jika kita restart modem dengan layanan Bizne Home?,Request
berapa biaya pergantian remote IPTV,Information
"Saya ingin mengganti data pada akun layanan saya, bisa dibantu?",Request
berapa lama garansi modem biznet?,Problem
bukti pembayaran saya belum terima,Information
Bagaimana cara saya merubah password wifi saya?,Information
bagaimana cara ubah jaringan saya dengan mode bridge,Information
internet saya tidak bisa di gunakan pada macbook saya,Problem
Kenapa saya tidak bisa menggunakan port 525,Problem
bagaimana cara membatasi penggunaan koneksi di modem biznet,Information
Bagaimana cara aktivasi akun MyBiznet?,Information
Internet saya lambat bandwidthnya tidak sesuai,Problem
Bagaimana cara cek ping dan tracert,Information
bagaimana jika saya ingin melakukan penambahan layanan pemasangan di lokasi baru?,Request
saya ingin tau promo yang berlaku,Information
Berapa nomor virtual account untuk melakukan pembayaran.,Information
info masa tenggang,Information
cara perpanjang,Information
cara langganan iptv gimana,Information
jadi total tagihan aku kalau sama IPTV berapa?,Information
parameter modem normal apa,Problem
kalau mau minta invoice gimana,Request
kalau ngga bisa bayar lebih dari 45 hari gimana min,Information
di lampung ada paket apa aja,Information
biaya instalasi sama modem berapa?,Information
ada promo apa aja untuk lampung,Information
"cara pasang baru, di JL PULAU SULAWESI",Information
sulawesi ada paket apa aja,Information
kalau mau relokasi gimana,Request
mau ubah status modem jadi buy min,Problem
mau ikut promo,Information
cara login ke aplikasi gimana,Information
cara beli ekstra kuota gimana,Information
itu kapan resetnya,Request
mau terminasi,Request
min sewa sama beli modem bedanya apa,Problem
biznet jualan router ngga biar sinyal jauh,Problem
mau pindah modem cuman geser dikit gimana caranya,Information
ngga bisa kirim email pakai internet biznet,Request
mau setting modem sendiri gimana caranya,Information
cara tau vlan id gimana min,Information
bisa nambah modem lagi min?,Problem
harga pasang baru di lokasi sama min,Information
ada paket apa aja min,Information
Mau cek kuota dong,Problem
Cara login ke aplikasi genana ?,Information
Kalo beli modem beraps,Problem
Min informasi paket yang bisa 10 device,Information
Cara download aplikasi my biznet dimana,Information
Saya ingin berlangganan namun bingung harus mulai darimana?,Request
Cara mengetahui alamat sudah tercover atau belum gimana?,Information
"Saya sudah membuka website Biznethome.net namun tidak menemukan menu pendaftaran, bisa dibantu?",Request
Min internet lambat,Problem
"Min internet dirumah indikator LOS nya merah, kenapa ya?",Problem
Kalau internet lambat disebabkan apa min,Problem
Cara ganti nama akun gimana,Information
"Kalau ganti nama akun, ada biaya nya engga?",Information
Pengen ganti paket 25 Mbps ada ga?,Request
harga biznet home 1 D berapa?,Information
harga biznet home 1D berapa?,Information
Cara ganti password secara mandiri gmna,Information
Min modem saya gak mau nyala,Problem
Biznet home ada batas pembayaran ga?,Information
Min kalau modem rusak gimana ya?,Problem
Jika sedang terjadi gangguan massal atau kendala area dari sisi Biznet apakah pelanggan akan dapat informasi terkait hal tersebut tanpa harus menanyakan?,Information
"Saya ingin menggunakan cctv, paket layanan biznet home apa yang cocok untuk penggunaan cctv?",Request
Min reset FUP tanggal berapa,Request
Saya ingin merubah skema penggunaan modem saya saat ini dari sewa menjadi beli apakah bisa?,Request
Jika saya melakukan pembelian modem apakah biaya sewa yang selama ini dikenakan akan hilang? dan apa keuntungan yang pelanggan dapatkan dari melakukan pembelian modem?,Information
Kalau berhenti berlangganan gimana caranya,Information
Biaya relokasi berapa min?,Information
Apakah ada garansi pergantian modem jika terjadi kerusakan jika saya baru melakukan pembelian modem?,Request
Berapa lama waktu yang dibutuhkan untuk melakukan pembelian modem?,Request
"Jika saya tetap menggunakan modem dengan skema, dan terjadi kerusakan pada modem, apakah bisa dilakukan perbaikan atau pergantian untuk modemnya?",Request
"Min tolong kirimkan teknisi kelokasi, modem saya LOS",Request
Min kalau pindahin perangkat ke sebelah rumah bayar ga?,Information
Min kirimin pricelist paket internet,Request
"Internet saya sangat lambat, apakah dapat dibantu dioptimalkan?",Problem
Min di App MyBiznet bisa beli promo engga?,Information
Min kalau ganti paket tapi cuma 2 hari bisa engga?,Request
Untuk perubahan paket layanan membutuhkan waktu berapa lama?,Request
"Min saya sewa modem biznet, tapi pengen ganti modem baru bisa engga?",Request
Bagaimana cara login ke MyBiznet apakah ada tutorial atau langkah langkahnya?,Information
"Saya ingin melakukan relokasi, namun untuk lokasi baru saya belum tercakup jaringan internet biznet, apa yang harus saya lakukan?",Request
Min cara liat ID pembayaran dimana,Information
"Saya melakukan salah bayar tagihan hanya karena salah 1 digit saat memasukan nomor billing ID, apakah ada solusi?",Information
"Saya melakukan pembayaran tagihan internet Biznet namun nominal nya kelebihan, apakah pembayaran saya tetap di proses?",Information
Cara memblokir pengguna wifi gimana,Information
Berapa harga perbulan untuk layanan IPTV dan apakah saya perlu melakukan pembelian alatnya?,Information
Min kalau saya pake perangkat modem temen saya bisa ga? sama sama biznet,Problem
"Halo, bagaimana cara berlangganan?",Information
"iya saya memerlukan bantuan, boleh berbicara dengan live agent?",Information
"layanan saya Biznet 3D, saat akses game cukup lambat, namun akses youtube normal, ada solusinya ga?",Problem
Halo saya ingin menghubungi customer service,Request
itu (kuota FUP) kapan resetnya,Request
Apakah saya bisa datang langsung datang ke cabang Biznet terdekat dari lokasi saya untuk menanyakan terkait ingin melakukan pendaftaran jaringan internet Biznet dirumah saya?,Request
"ow gitu coy, kalo masih lambat gimana",Problem
apakah jika modem rusak bisa diganti dengan yang baru?,Request
apakah bisa request untuk pembayaran setiap ditanggal tertentu?,Information
bagimana cara add on extra kouta?,Information
Apakah ada diskon untuk pembelian modem?,Problem
cara request perapihan kabel,Information
jika modem saya rusak apa indikasinya?,Problem
apakah akun kompliment jika ingin relokasi dikenakan biaya?,Information
sebagai router tambahan,Problem
saya ingin ubah layanan apakah bisa dibantu,Request
bagaimana cara optimalkan jaringan secara mandiri?,Information
bagaimana jika saya putus jaringan sebelum masa kontrak?,Problem
apakah modem biznet support 6G?,Problem
apakah biznet ada paket yang harganya 150.000?,Information
apakah ada promo perpanjangan layanan?,Information
jika saya ingin daftar biznet untuk kosan baiknya menggunakan layanan yang mana?,Request
saya butuh layanan dengan IP yang tidak berubah ubah,Request
kalau saya pakai IP Public Dynamic akan terreset per kapan?,Request
"jika saya tidak bayar bulanan selama 1 bulan, apakah akunnya masih bisa dilanjutkan?",Information
jika kabel modem saya putus karna digigit tikus apakah perbaikannya akan berbayar?,Information
apakah biznet ada kompensasi jika internet saya mati berhari2?,Problem
kenapa jaringan saya bermasalah akhir akhir ini?,Problem
apakah boleh saya reset modemnya?,Request
internet saya lambat sekali kalau akses ke google.com,Problem
kenapa lan saya tidak terhubung ke port 1 modem?,Problem
apakah teknisi biznet bisa setting router tambahan saya?,Problem
Internet saya mati,Problem
promo ada ?,Information
mau promo 2+1,Information
Internet terputus min,Problem
mo relokasi,Request
mo ganti paket,Request
kendala lambat,Problem
bisa informasikan untuk pengajuan sponsorship ke Biznet?,Information
berapa harga pemasangan awal untuk layanan biznet home internet 1d untuk wilayah depok,Information
i want to buy promo,Information
total setelah ppn dan beli modem,Problem
saya mau relokasi,Request
Bisa informasikan bandwidth yang didapatkan apabila berlangganan Home Internet 1D?,Information
Harga paket 0D berapa?,Information
aKlau remote IPTV rusak order kembali biayanya berapa?,Information
Kalo harga paket 1D berapa?,Information
Cara cek nomor SN biznet dimana?,Information
Beli promo,Information
Kalo harga paket 2D berapa?,Information
Kalo harga paket gamers 3D berapa?,Information
Apakah Biznet menjual perangkat router tambahan untuk support jangakuan koneksinya?,Problem
"Kalo mau pasang, apakah ada biaya pasang min?",Information
Mau relokasi,Request
Harga paket 0D berapa min?,Information
kalo harga paket 1D berapa min?,Information
kalo harga paket 2D berapa min?,Information
"kalo untuk main game, cocoknya paket apa ya min?",Information
Kuota itu FUP ya min?,Problem
Kalau Saya mendapatkan Ping tinggi karena lambat apakah bisa dilakukan visit langsung?,Problem
Bisa informasikan bandwidth yang diterima Home Internet 1D?,Information
Paket apa yang tersedia untuk daerah sulawesi min?,Information
Sebutkan nama merk modem Biznet?,Problem
sudah restart masih lambat,Problem
Bisa informasikan dikenakan  berapa pajak pada layanan Biznet?,Information
Bisa informasikan store Biznet atau Branch terdekat dari bandara soekarno hatta?,Information
Apakah Harga layanan Biznet berubah-ubah?,Information
Bagaimana langkah-langkah saya untuk konfirgurasi modem secara mandiri?,Information
Bisa informasikan cara berlangganan?,Information
Internet lambat banget,Problem
ada promo,Information
internet lambat,Problem
biaya pasang baru berapa?,Information
Biaya relokasi biznet home?,Information
promo 2d home modem buy berapa?,Information
harga paket 1d,Information
harga pasang baru,Information
cara berhenti berlangganan,Information
ingin ikut promo 1D modem rent,Information
harga modem,Information
cara berlangganan,Information
Terkait permintaan pengajuan sponsopship,Request
Harga paket gamers biznet,Information
tanggal berapa biasanya dilakukan pembayaran auto debet untuk kartu kredit yang terdaftar di Biznet?,Information
bisa dicek ID pelanggan ini 1000? LOS merah menyala,Problem
Apakah akan dikenakan biaya tambahan jika alamat instalasi menggunakan jalur kabel bawah tanah?,Information
Hi kalo ingin ikut promo 3+1 gmn cara nya?,Information
putus sambung,Problem
promo bhi 1d,Information
Lemot ini,Problem
udah restart msh lemot,Problem
Internet saya ga gacor nih lambat mulu,Problem
ganti paket,Request
Cara pendaftaran,Information
mohon info paket apa saja,Information
Lambat,Problem
Sudah dilakukan semua tapi masih lambat,Problem
Internet Saya Down loss merah,Problem
Cek harga layanan Biznet,Information
koneksi lambat,Problem
batalkan ganti paket,Request
saya mau tanya harga bulanan,Information
berapa harga bulanan paket saya,Information
saya ingin pasang baru alkun tambahan,Request
internet lemot,Problem
kuota saya saat ini,Problem
saya mau tau harga paket saya,Information
sudah tapi masih lambat,Problem
apakah saya bisa menggunakan promo untuk paket saya?,Information
"ok, apakah saya sebaiknya ganti ISP saja?",Request
"kalau saya ingin ganti paket, paket mana saja yang bsia saya gunakan",Request
harga paling murah berapa?,Information
Harga modem berapa ?,Information
harga promo biznet ada?,Information
Owh oje kalok di tambah router bisa gak ?,Problem
Tambah router mesh wifi,Problem
cara pilih nya gimana,Information
kalau mau beli promo 3+1 gimaa caranya,Information
Oke saya sekarang mau beli promo,Information
Thank you kalok saya mau ganti paket bisa ?,Request
Kalok mau bayar bisa lewat mana ?,Information
Ada promo apa aja ya,Information
Kalo promo 6+2,Information
Nanya promo,Information
Kalo beli ekstra kuota gmn,Problem
Untuk paket apa aja ?,Information
Klo kuota abis bagaimana ?,Problem
Kalo change package gmn min,Information
Ini gimana caranya,Information
Kita udah install analyzer aman ngga ada masalah,Problem
Cara liat jumlah penggunanya gimana,Information
Cara mengganti paket gimana,Information
